type,time,Canada,US,Mexico,Rest C.Am.,Brazil,Rest S.Am.,N.Africa,W.Africa,E.Africa,South Africa,W.Europe,C.Europe,Turkey,Ukraine,Stan,Russia,M.East,India,Korea,China,SE.Asia,Indonesia,Japan,Oceania,Rest S.Asia,Rest S.Africa
phs,1971,658.1432805,15455.99856,89.85919797,16.0996777,186.2217641,122.9322715,43.85509856,62.99681519,10.51001189,4.948320242,12333.99122,626.5084161,21.35698533,39.68942903,122.2722394,592.4145272,43.55991612,206.0943755,157.886228,262.2000766,36.94040254,13.26613195,3197.000085,370.7127497,34.06629831,20.23395692
phs,1972,743.9881305,17471.99953,101.5799587,18.19962882,210.5115699,138.966916,49.5753346,71.2138034,11.88088478,5.593754409,13942.77458,708.2269071,24.14267638,44.86631536,138.2207085,669.6860099,49.24166589,232.9762206,178.4800921,296.3999689,41.75872555,14.99650126,3613.999543,419.0665306,38.50974423,22.87316916
phs,1973,829.8329503,19487.99888,113.3007359,20.29958635,234.801368,155.0015496,55.29556022,79.43076373,13.25175526,6.239188523,15551.55222,789.945442,26.92836657,50.04319855,154.169234,746.9574009,54.92339061,259.8580815,199.0739725,330.6000579,46.57704182,16.72686639,4031.000147,467.4204243,42.95317482,25.51237561
phs,1974,915.6777748,21504.0034,125.021474,22.39954205,259.0911435,171.0362048,61.01578449,87.64775127,14.62262549,6.884621262,17160.33229,871.6638891,29.71405986,55.22007728,170.1178368,824.2289794,60.60513079,286.739943,219.6678117,364.7999686,51.39534455,18.45722889,4448.000465,515.7739315,47.39658043,28.15158617
phs,1975,995.7072969,23455.29319,114.7734512,24.11735945,378.2594712,219.888277,62.68534752,97.06869664,21.18627075,60.07825115,18389.07379,1345.193539,58.63678892,50.12516757,154.4218699,748.1811698,76.5423459,297.3076712,210.0628697,399.6021472,56.30385085,22.09653718,4870.50738,574.0168904,51.80755032,71.44992245
phs,1976,1056.17675,25453.92532,131.7237912,28.0221022,438.0954627,234.6946461,73.21140328,104.9795727,21.74677969,101.6182937,19963.08308,1465.07949,83.9885577,52.39338197,161.4095469,782.0366263,91.56810818,314.0240808,217.032445,434.0457808,63.25726792,22.1088685,5289.216314,573.7293168,62.81733148,77.91870576
phs,1977,1107.999992,27447.75131,148.9744773,28.15061374,500.6057788,263.3552591,84.08915759,110.3187975,23.8496969,106.7327892,21538.49305,1584.266773,87.12475945,57.52345476,177.2138638,858.6094201,105.4831632,347.2694336,217.514893,468.4043843,63.53876145,22.20170534,5707.939409,575.5429659,63.13979824,89.99261794
phs,1978,1153.039683,29445.17034,143.7150899,32.53908041,535.8207927,281.2198703,84.29386191,106.4930284,27.90477107,103.865696,23062.85723,1754.277969,92.3933378,64.6677442,199.223483,965.2456717,137.7446221,419.5928942,220.3903144,502.6566335,61.31661955,23.90238606,6126.513733,554.7057362,80.6971627,87.33127038
phs,1979,1216.36401,31431.6828,144.7185689,36.88129897,618.0542938,324.173578,88.88522045,122.7639045,32.59874359,105.5140293,24623.76499,1887.834895,103.5243085,66.63186666,205.2741711,994.563567,139.3607292,423.387521,236.6536061,536.9147716,67.09664894,25.81699573,6545.08134,626.872057,90.6003865,89.64585773
phs,1980,1267.944391,33412.9932,145.2333255,40.73674225,692.4473262,379.6498406,91.40799895,137.0010285,33.06866246,106.8338774,25946.9776,2259.173779,115.6862707,72.50343521,223.3631288,1082.203619,140.5255478,426.5639043,237.3367691,571.1579926,68.72699791,26.49901099,6963.777767,629.2479262,98.54949095,90.5178523
phs,1981,1522.5616,35342.90975,217.1303609,57.3041776,796.3391027,441.4235942,103.9770752,156.3239059,42.94591316,121.0317141,27370.79151,2392.444122,145.8083497,83.21456606,256.3608221,1242.080638,168.9661398,515.025283,286.7832102,1056.902754,94.43117774,39.07966706,8253.049614,710.4359293,116.5509689,102.2639595
phs,1982,1718.356798,37260.09606,245.1287944,64.84580773,977.4437865,554.2668308,117.5250924,178.7619086,52.81406046,137.5474424,28794.03055,2526.805209,186.2070733,93.83957926,289.0934989,1400.672094,197.895857,581.5789015,322.9725613,1542.825687,118.0904355,44.17732074,9544.57641,800.4079296,139.0511123,115.8959286
phs,1983,1928.469417,39204.76748,271.0544428,71.87584435,1168.63503,671.5289155,129.9389326,197.7517157,64.58397781,153.1176006,30338.18929,2540.36535,206.9480233,103.6462316,319.3049993,1547.048935,219.4746096,657.5892225,372.3154561,2028.618218,130.977308,50.09906548,10835.38736,883.0742002,174.3429672,128.6519067
phs,1984,2161.425581,41139.38649,280.2862953,82.51170106,1338.97772,770.3697311,134.3418042,204.5385715,70.06753207,159.3993092,31790.71933,2644.189689,215.0992645,119.2241481,367.2964537,1779.56696,227.6304815,739.8203327,384.188721,2514.580935,177.6452317,56.72479249,12125.81053,911.3001169,215.6712201,133.5572166
phs,1985,2405.70799,43068.91743,320.576619,94.5028011,1503.622819,886.875405,139.7978823,228.0944788,80.78474254,167.0607159,33225.9609,2765.891295,225.0768905,132.0649309,406.8551297,1971.23198,237.6717894,770.8781389,470.3339415,2999.789579,187.3423057,71.04449335,13415.49912,975.6292152,225.3604693,139.5781751
phs,1986,2588.708964,44989.14975,334.8856209,120.7857568,1617.430566,1089.226969,145.9418341,267.3216866,84.69942531,175.599426,34654.21283,2895.209651,236.2027517,139.7764229,430.6121873,2086.335557,274.4614265,814.5230025,527.5662623,3484.976125,228.6609999,101.7814907,14707.02717,1116.100147,256.3916437,146.2949411
phs,1987,2756.089455,46909.19766,347.8399601,131.1510491,1721.165813,1309.478637,151.4737585,277.9146435,92.27706299,183.5321084,36233.36369,2874.451483,327.6808395,148.9614092,458.9083943,2223.432952,360.2281783,846.3662188,614.1705618,3970.20606,238.1626569,106.096358,15997.75027,1157.102373,285.5095314,152.4660288
phs,1988,2805.188157,48843.2934,353.8468434,143.6673366,1891.31368,1338.023069,153.9536763,301.2942369,102.5993719,308.0270684,37735.11744,2928.594534,521.9332645,160.9619447,495.8787837,2402.554259,367.8127796,937.8990857,624.7860658,4455.310546,257.9870719,119.3059283,17286.46596,1233.980059,325.48473,155.6252732
phs,1989,2949.096856,50805.38153,371.7946583,151.5458872,2057.502499,1414.329574,168.0769055,361.9468341,113.2776507,325.7838908,39171.67318,3049.058409,551.6390815,169.1608117,521.1371406,2524.932735,387.9217668,1065.245057,688.3279458,4940.862627,314.3309714,153.417538,18576.29521,1295.007049,359.3388383,164.0827369
phs,1990,3036.969576,52742.98965,382.6582461,156.5930797,2153.665671,1609.900597,173.2922087,373.2671882,117.1082861,337.5438577,38493.73542,5281.296119,571.1499247,233.9537773,579.3461612,2599.246993,400.7727755,1273.399247,799.9095533,5426.762435,345.997667,158.6196085,19867.25404,1348.668159,371.4257293,194.2437881
phs,1991,3024.823734,52544.46992,380.6933814,156.4137912,2273.529954,1758.084996,176.6207186,372.1038624,122.4454807,338.065692,38317.00871,6380.76134,571.625882,262.3521535,576.7899054,2586.449528,400.2460666,1295.840428,796.6960335,6197.591672,345.562962,158.5314367,20285.44831,1400.81449,380.0204712,209.5538178
phs,1992,3119.188007,52373.74365,397.8807397,156.6681212,2342.652775,1786.242388,176.1385356,376.7860214,127.6396919,339.535141,39075.2553,6546.776427,573.7019563,262.3906545,575.809403,2625.510871,400.8224205,1295.724276,795.6663902,6966.955372,346.0800231,202.0224503,20705.39392,1396.14483,422.8796821,209.9362096
phs,1993,3143.361564,52191.92292,393.0439337,162.4146062,2429.595642,1960.918517,172.2492671,369.3973946,133.123526,334.4217246,39926.90879,6621.312298,666.0110756,257.3690632,574.6591949,2637.767806,393.6634491,1270.623422,779.2995227,7736.554851,361.5947007,198.6743266,21124.79652,1434.120725,415.6835824,206.2673548
phs,1994,3133.503034,52018.24581,381.7229672,158.3518519,2453.11452,2105.00365,178.2429582,359.4084255,134.398741,326.8952856,40781.48932,6688.698853,650.6604303,261.115859,610.5065731,2584.617557,383.6858435,1426.188507,757.4387695,8507.12576,420.2837743,193.8941321,21543.55565,1478.19999,456.3663654,201.1094512
phs,1995,3196.838139,51850.32256,403.9909617,158.1516315,2570.72202,2151.977275,182.1127885,363.9677774,136.3935957,327.3198159,40887.85296,7503.499551,682.96293,260.3988437,607.9644708,2571.657758,383.065384,1422.584694,754.0836778,9278.370205,465.0175791,193.8373166,21961.75188,1523.792943,464.5651964,200.8591644
phs,1996,3347.344996,51675.57443,456.3577818,162.8912562,2661.253449,2179.571797,201.5260323,374.300614,142.7864584,323.5882689,41015.88818,8298.260792,769.2291482,256.3832796,597.7290848,2526.179615,377.5890811,1400.958086,741.1974742,10049.13591,492.4968543,191.3207666,22380.41084,1496.211987,458.4641978,198.0630633
phs,1997,3349.145232,51495.40022,456.5990243,172.6175543,2811.00698,2340.063836,209.8232249,374.8151061,143.3122483,325.491734,41756.05944,8480.258447,773.4419051,256.83416,597.9110602,2524.73878,378.6883369,1403.736415,741.2349332,10818.89897,494.5109933,192.134981,22799.68887,1494.759836,460.3483984,198.7152443
phs,1998,3340.875771,51327.11241,455.4662835,172.7139806,2946.584626,2344.152875,211.9499102,374.2240291,143.4866939,326.4399936,42619.16426,8539.550059,810.2679202,339.6143462,596.292317,2515.671767,378.6567706,1431.235743,739.0586044,11591.25799,495.0542798,213.9125128,23222.65822,1488.924274,460.8606012,258.052343
phs,1999,3368.80923,51156.96939,487.2023616,198.6487963,3004.188241,2373.837043,237.3949943,377.6566006,145.2886034,330.9487873,43381.86433,8699.593521,821.1574443,343.2644598,601.1378295,2533.837358,382.7474307,1445.463301,744.8754766,12359.88615,530.9797188,216.5604016,23644.64188,1499.169292,466.402664,285.3603619
phs,2000,3440.831638,50973.97521,490.3861761,203.8012478,3108.222611,2522.132136,235.0928111,376.560696,144.3232079,329.4335751,44632.06118,8372.548563,817.1312733,340.6721197,595.0355963,2505.836847,379.8780833,1433.393174,737.1082199,13129.05841,585.9066955,223.5358334,24062.40797,1481.921565,463.463925,314.5625893
phs,2001,3376.691528,50747.13772,483.8050897,200.7406747,3133.45351,2518.328373,230.6249018,376.2753795,142.3495529,324.8326781,45020.96859,8417.765231,805.4112925,334.8822422,583.3577229,2454.393929,373.4304105,1407.845213,722.4923192,13598.24703,615.2210549,220.1139799,25332.99619,1447.581619,456.1517449,310.2887307
phs,2002,3413.142958,50718.4652,473.6825693,209.99535,3170.673316,2464.418415,224.6447988,380.9142995,139.2145597,318.051506,45419.75719,8453.185829,788.3265785,326.8798595,567.8916512,2391.960103,364.5213348,1373.108445,703.1983791,14069.58424,621.0639496,215.2182271,26601.21001,1407.117007,445.8157476,303.3685758
phs,2003,3382.913339,50489.1776,462.0384074,214.4478579,3244.714625,2398.41625,217.7250485,371.2984122,135.5352734,309.8595213,45832.65047,8503.084323,767.7717284,317.4753309,550.0629947,2374.715208,354.0488588,1373.275961,681.0002919,14539.46664,626.1044577,209.3832225,27920.66712,1365.451074,433.6197349,295.1018498
phs,2004,3278.129625,50482.51904,488.0616775,210.5383088,3194.601961,2418.838089,224.3762884,358.7004735,130.6173951,298.8383213,46414.1175,8481.91296,740.194362,305.2214737,527.3848044,2313.448543,419.8366017,1419.748045,653.2373504,15012.32431,652.676683,201.6450438,29247.28878,1290.693033,424.8311083,295.7524558
phs,2005,3239.462065,50145.65096,475.8561372,208.5535944,3196.083844,2387.214446,218.2565997,348.9706037,127.0460697,290.5789096,47054.85933,8445.995054,719.4615416,295.8477109,509.7819102,2270.257056,459.6800379,1465.20022,631.5678122,15494.01646,645.087764,195.790529,30590.05451,1220.809161,415.7463985,289.1139978
phs,2006,3189.662015,49691.59646,471.2095111,211.0681218,3222.644775,2363.427084,211.1734083,337.8400278,124.0394712,282.5056402,47610.02062,8476.481253,699.0704995,286.7219336,492.6833898,2213.967728,488.0954672,1499.432098,611.149492,15998.36939,641.5165486,190.0807466,31949.13557,1173.171435,404.982063,282.0918046
phs,2007,3108.888573,48765.07911,488.729119,209.8543774,3248.687943,2303.556121,204.0703183,324.9449956,120.4455252,272.8623846,48360.52043,8451.128535,674.6771235,276.0649386,473.0410129,2169.784672,511.5646667,1543.560047,587.3192259,16548.77878,638.4886566,183.3363751,33277.19337,1090.897915,435.4555876,282.2310358
phs,2008,3073.705983,47160.63312,474.7142822,207.5909525,3197.635961,2282.163237,201.2154216,316.9956413,118.4501388,266.1713902,49567.0795,8456.3266,657.1307148,268.414234,458.6370871,2121.835769,520.4424868,1578.822406,573.7240299,17177.01518,681.9203736,178.5702656,34702.48729,1044.018465,433.8154307,278.2497379
phs,2009,3009.373227,44954.68157,461.1032164,202.9666315,3155.802691,2226.943001,195.8579841,308.8012288,196.3036287,259.0945899,50734.34745,8568.422348,637.9087001,260.4150036,467.3106664,2070.505053,509.3912472,1573.375498,557.36806,17995.96608,771.8984563,173.5580511,36187.67662,984.9808275,424.5624473,271.3946223
phs,2010,2935.455505,44194.2127,450.9547206,206.4828461,3134.881898,2197.015244,192.229829,301.8629871,222.7760167,250.6826876,52454.11379,8897.305349,643.5016625,251.1457829,461.5674342,2009.8773,525.7449011,1558.475494,536.6126174,18893.50178,854.1143726,167.6543128,37729.89659,941.2280398,416.3574922,263.0140797
phs,2011,3045.482194,42857.13912,463.0941598,232.591672,3283.06656,2271.332477,198.6916903,310.0588425,243.2236338,257.9401712,55689.24977,9217.312622,712.8172383,259.6790125,483.4643651,2064.708689,552.2517672,1663.294358,576.4564913,22225.34436,1009.526405,171.5785035,38609.0865,929.311189,429.2754976,269.9717204
phs,2012,3108.031879,39922.54029,470.4374377,247.5402442,3407.514415,2315.619506,201.6757601,329.0099315,271.9151315,262.0680382,59329.14222,9653.582424,827.6578948,266.0420303,497.071259,2161.167208,607.6561099,1734.430647,612.5721681,25671.92793,1208.570937,176.2538337,39577.06334,905.5163245,449.8298905,281.0762131
phs,2013,3191.012665,39804.98103,479.9727896,257.8857328,3543.726042,2380.113488,205.643726,354.3867013,283.7203871,268.9681782,62483.34216,10011.97357,957.9949884,277.0333844,507.4371731,2274.084708,650.6810907,1806.804833,631.8337838,29857.01824,1348.717964,221.4472269,42330.69062,875.3583349,478.019106,289.5596473
phs,2014,3332.919078,38901.67345,518.7213796,275.0292223,3726.51964,2477.808002,208.9089291,359.847872,293.6650297,293.2798503,65281.27137,10284.61327,1032.265558,282.119111,520.2268403,2355.289172,689.1706699,1913.774344,654.1946026,34422.39182,1433.166439,225.6054169,46182.90584,847.4712795,495.2854962,312.2965947
phs,2015,3419.898765,39147.64755,534.489211,283.2202458,3838.103854,2665.381028,229.4580045,371.918673,300.3321598,301.8057591,66322.87351,10673.31973,1064.495211,289.7806584,544.2582569,2413.747574,709.0614179,2070.65918,674.3749418,37433.50835,1474.967489,240.5734462,46517.83734,868.8484171,509.3741064,338.0231666
phs,2016,3464.48976,39345.38064,541.7720391,287.9041709,4047.107603,2710.0237,247.8487579,440.5131297,301.9970119,306.7479666,67666.00257,10923.11036,1083.09743,293.9935064,561.985711,2520.262336,720.4874471,2207.398879,682.4057538,40583.1586,1575.564836,252.9717038,47007.78024,877.6061331,546.3818697,358.7180048
phs,2017,3509.107518,38601.85491,549.0985294,292.5910352,4236.251644,2896.506625,251.0309214,513.3944295,313.4713713,313.4377564,68969.06262,11173.96141,1102.027463,299.4993907,576.4493175,2590.402489,732.0037597,2349.507347,690.4396835,43713.52321,1600.943883,267.7185376,47471.77523,882.7396013,562.6272388,398.9964772
phs,2018,3644.762468,37000.27308,570.696629,304.868939,4416.807777,3019.973431,260.7364416,583.8615114,354.2570323,331.2784897,69999.64989,11384.19616,1156.775508,314.2331836,632.0509403,2688.440988,762.7085142,2561.282195,716.4147213,48862.44681,1668.360523,293.7203224,47839.39837,907.8569549,642.1125964,439.5957055
phs,2019,3735.998541,34947.88644,585.360173,313.4434594,4544.705911,3161.73467,267.2659843,656.9382089,382.7366188,348.2297944,71043.56729,11598.01374,1210.087371,326.1347181,677.662848,2839.907129,784.3166447,2753.889886,733.6398456,54042.0812,1801.373756,322.5936727,48212.28461,976.3143763,761.3477237,477.3290114
phs,2020,3814.528595,32746.47394,598.0600291,320.9583557,4788.16583,3335.198887,273.1388337,737.4203482,438.6152198,367.7196157,72130.88217,11813.4545,1264.604909,337.002686,725.1657344,2898.626557,803.4048312,2949.528596,748.2920271,59483.93892,1973.988539,359.2438331,48584.76313,993.2683969,847.1105243,515.8915457
